Test Case ID,Description,Object,Action,DataColumn,WaitAfter
ExpoSKUAddNew,click on options,,clickElement,,
ExpoSKUAddNew,select   SKU ,,clickElement,,
ExpoSKUAddNew,click add button,"//*[@id=""__next""]/div/div/div/div[1]/div/div[2]/div[1]/button",click,,
ExpoSKUAddNew,Add Name,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[1]/div/span[1]",click,Name,
ExpoSKUAddNew,Add Width,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[2]/div/span[1]",click,Width,
ExpoSKUAddNew,Add Length,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[3]/div/span[1]",click,Length,
ExpoSKUAddNew,Add Height,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[4]/div/span[1]",click,Height,
ExpoSKUAddNew,Add  Weight,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[5]/div/span[1]",click,MaxWeight,
ExpoSKUAddNew,Add SAP ID,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[5]/div/span[1]",click,SAPID,
ExpoSKUAddNew,click submit,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[5]/div/span[1]",click,,
