Test Case ID,Description,Object,Action,DataColumn,WaitAfter
ExpoSKUEdit,click on options,,clickElement,,
ExpoSKUEdit,select  SKU ,,clickElement,,
ExpoSKUEdit,click edit button,"//*[@id=""__next""]/div/div/div/div[1]/div/div[2]/div[1]/button",click,,
ExpoSKUEdit,Edit Name,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[1]/div/span[1]",click,Name,
ExpoSKUEdit,Edit Width,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[2]/div/span[1]",click,Width,
ExpoSKUEdit,Edit Length,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[3]/div/span[1]",click,Length,
ExpoSKUEdit,Edit Height,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[4]/div/span[1]",click,Height,
ExpoSKUEdit,Edit Weight,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[5]/div/span[1]",click,MaxWeight,
ExpoSKUEdit,Edit SAP ID,"//*[@id=""__next""]/div/div/div/div[1]/div/div[2]/div[1]/button",,SAPID,
ExpoSKUEdit,click submit,,click,,
