Test Case ID,Description,Object,Action,DataColumn,WaitAfter
MultiSkuFloorLoading,Click on reset button,"//button[@class=""ant-btn""]",click,,
MultiSkuFloorLoading,click on dropdown,"//input[@type=""search""]",click,,10000
MultiSkuFloorLoading,select load type,/html/body/div[5]/div/div/div/div[2]/div[1]/div/div/div[1]/div,click,,10000
MultiSkuFloorLoading,Click on select container,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[1]/div/div[2]/div/div",click,,2000
MultiSkuFloorLoading,Click on  Container,/html/body/div[6]/div/div/div/div[2]/div[1]/div/div/div[1],click,,2000
MultiSkuFloorLoading,Click on select SKU,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[3]/div[1]/div/div/div/div",click,,2000
MultiSkuFloorLoading,Selecting SKU,,clickElement,sku1,2000
MultiSkuFloorLoading,Item Quantity,"//*[@id=""basic_quantity""]",input,itemQuantity1,2000
MultiSkuFloorLoading,Click on add button,//button[@type='submit'],click,,10000
MultiSkuFloorLoading,Click on select SKU,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[3]/div[1]/div/div/div/div",click,,10000
MultiSkuFloorLoading,Selecting SKU,,clickElement,sku2,10000
MultiSkuFloorLoading,Item Quantity,"//*[@id=""basic_quantity""]",input,itemQuantity2,30000
MultiSkuFloorLoading,Click on add button,//button[@type='submit'],click,,10000
MultiSkuFloorLoading,Click on select SKU,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[3]/div[1]/div/div/div/div",click,,10000
MultiSkuFloorLoading,Selecting SKU,,clickElement,sku3,10000
MultiSkuFloorLoading,Item Quantity,"//*[@id=""basic_quantity""]",input,itemQuantity3,30000
MultiSkuFloorLoading,Click on add button,//button[@type='submit'],click,,10000
MultiSkuFloorLoading,Click on select SKU,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[3]/div[1]/div/div/div/div",click,,10000
MultiSkuFloorLoading,Selecting SKU,,clickElement,sku4,10000
MultiSkuFloorLoading,Item Quantity,"//*[@id=""basic_quantity""]",input,itemQuantity4,30000
MultiSkuFloorLoading,Click on add button,//button[@type='submit'],click,,10000
MultiSkuFloorLoading,Click on select SKU,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[3]/div[1]/div/div/div/div",click,,10000
MultiSkuFloorLoading,Selecting SKU,,clickElement,sku5,10000
MultiSkuFloorLoading,Item Quantity,"//*[@id=""basic_quantity""]",input,itemQuantity5,30000
MultiSkuFloorLoading,Click on add button,//button[@type='submit'],click,,10000
