Test Case ID,Description,Object,Action,DataColumn,WaitAfter
palletStackMultiItemLoad,click on dropdown,"//input[@type=""search""]",stpClick,,2000
palletStackMultiItemLoad,select load type,,clickElement,selectLoadType,2000
palletStackMultiItemLoad,Click on select container,"//*[@id=""__next""]/div/div/div/div[1]/div/div/div[1]/div[1]/div/div[2]/div/div",stpClick,,2000
palletStackMultiItemLoad,Click on 20ft Standard Container,,clickElement,selectContainer,2000
palletStackMultiItemLoad,Click on Palate Type,,clickElement,clickPallet,2000
palletStackMultiItemLoad,Select Palate Type,,clickElement,selectPalate,2000
palletStackMultiItemLoad,Click PS Menue,/html/body/div[1]/div/div/div/div[1]/div/div/div[1]/div[2]/div[2],stpClick,,2000
palletStackMultiItemLoad,Select Stackable Pallet,//div[@title='Pallet Stackable'],stpClick,,2000
palletStackMultiItemLoad,Click on Add Multi SKU Pallet,,clickElement,clickAddSKU,2000
palletStackMultiItemLoad,Click on SKU Details,,clickElement,clickRadio,3000
palletStackMultiItemLoad,Click on select SKU,,clickElement,clickSKU,3000
palletStackMultiItemLoad,Selecting SKU,,clickElement,sku,10000
palletStackMultiItemLoad,click L,,clickElement,clickL,3000
palletStackMultiItemLoad,Decrease The Item Quantity,,clickElement,selectL,10000
palletStackMultiItemLoad,Click on add button,//button[@class='ant-btn ant-btn-primary'],click,,10000
